company_name,ticker,esg_score,risk_level,page_number
"Affirm Holdings, Inc.",NAS:AFRM,22.9,Medium ESG Risk,28
Affle (India) Ltd.,BOM:542752,20.5,Medium ESG Risk,28
Affordable Housing Finance Plc,-,29.3,Medium ESG Risk,28
AFI Properties Ltd.,TAE:AFPR,24.4,Medium ESG Risk,28
"Aflac, Inc.",NYS:AFL,17.5,Low ESG Risk,28
Africa Finance Corp.,-,14.1,Low ESG Risk,29
Africa Israel Residences Ltd.,TAE:AFRE,24.5,Medium ESG Risk,29
Africa Oil Corp.,TSE:AOI,44.6,Severe ESG Risk,29
African Export-Import Bank,MAU:AEIB.N0004,38,High ESG Risk,29
African Rainbow Minerals Ltd.,JSE:ARI,30.2,High ESG Risk,29
African Risk Capacity Ltd.,-,8,Negligible ESG Risk,29
Afrimat Ltd.,JSE:AFT,30.5,High ESG Risk,29
AFRY AB,OME:AFRY,17,Low ESG Risk,29
After You Public Co. Ltd.,BKK:AU,33.2,High ESG Risk,29
AG Anadolu Grubu Holding AS,IST:AGHOL.E,31.5,High ESG Risk,29
"Ag Growth International, Inc.",TSE:AFN,22.1,Medium ESG Risk,30
"AGC, Inc. (Japan)",TKS:5201,22.8,Medium ESG Risk,30
AGCO Corp.,NYS:AGCO,17.1,Low ESG Risk,30
AGCO Finance LLC,-,21.9,Medium ESG Risk,30
ageas SA/NV,BRU:AGS,15.1,Low ESG Risk,30
Agence Française de Développement,-,10.5,Low ESG Risk,30
Agence France Locale Société anonyme,-,16.1,Low ESG Risk,30
"Agenus, Inc.",NAS:AGEN,36.9,High ESG Risk,30
AGI Greenpac Ltd.,BOM:500187,20.3,Medium ESG Risk,30
Agile Group Holdings Ltd.,HKG:3383,24,Medium ESG Risk,30
"Agilent Technologies, Inc.",NYS:A,11.4,Low ESG Risk,31
"Agiliti, Inc. (Minnesota)",-,20.4,Medium ESG Risk,31
Agility Public Warehousing Co. KSC,KUW:AGLTY,20.2,Medium ESG Risk,31
"Agilon Health, Inc.",NYS:AGL,23.5,Medium ESG Risk,31
"Agilysys, Inc.",NAS:AGYS,13.2,Low ESG Risk,31
"Agios Pharmaceuticals, Inc.",NAS:AGIO,26.6,Medium ESG Risk,31
AGL Energy Ltd.,ASX:AGL,32.9,High ESG Risk,31
AGNC Investment Corp.,NAS:AGNC,8.7,Negligible ESG Risk,31
Agnico Eagle Mines Ltd.,TSE:AEM,21.1,Medium ESG Risk,31
AGRANA Beteiligungs-AG,WBO:AGR,31.2,High ESG Risk,31
Agree Realty Corp.,NYS:ADC,15.2,Low ESG Risk,32
Agricultural Bank of China Ltd.,HKG:1288,32.9,High ESG Risk,32
Agricultural Bank of China Ltd. (Singapore Branch),-,28.8,Medium ESG Risk,32
Agricultural Development Bank of China,-,16.4,Low ESG Risk,32
Agrosuper SA,-,36.5,High ESG Risk,32
Agthia Group PJSC,ADS:AGTHIA,25.6,Medium ESG Risk,32
Agua y Saneamientos Argentinos SA,-,37.5,High ESG Risk,32
