company_name,ticker,esg_score,risk_level,page_number,exchange,clean_ticker,risk_category
"Dave & Buster's Entertainment, Inc.",NAS:PLAY,30.5,High ESG Risk,333,NAS,PLAY,High Risk
"DaVita, Inc.",NYS:DVA,21.8,Medium ESG Risk,333,NYS,DVA,Medium Risk
"Day One Biopharmaceuticals, Inc.",NAS:DAWN,37.1,High ESG Risk,333,NAS,DAWN,High Risk
"Dayforce, Inc.",NYS:DAY,17.3,Low ESG Risk,334,NYS,DAY,Low Risk
Deckers Outdoor Corp.,NYS:DECK,14.2,Low ESG Risk,336,NYS,DECK,Low Risk
Deere & Co.,NYS:DE,16.3,Low ESG Risk,336,NYS,DE,Low Risk
Definitive Healthcare Corp.,NAS:DH,16.1,Low ESG Risk,336,NAS,DH,Low Risk
"Delek US Holdings, Inc.",NYS:DK,37.4,High ESG Risk,337,NYS,DK,High Risk
"Dell Technologies, Inc.",NYS:DELL,15.7,Low ESG Risk,338,NYS,DELL,Low Risk
"Delta Air Lines, Inc.",NYS:DAL,30.5,High ESG Risk,338,NYS,DAL,High Risk
Deluxe Corp.,NYS:DLX,10.0,Low ESG Risk,338,NYS,DLX,Low Risk
"Denali Therapeutics, Inc.",NAS:DNLI,24.9,Medium ESG Risk,339,NAS,DNLI,Medium Risk
Denny's Corp.,NAS:DENN,26.0,Medium ESG Risk,339,NAS,DENN,Medium Risk
"Dentsply Sirona, Inc.",NAS:XRAY,12.1,Low ESG Risk,340,NAS,XRAY,Low Risk
"Design Therapeutics, Inc.",NAS:DSGN,28.3,Medium ESG Risk,341,NAS,DSGN,Medium Risk
"Designer Brands, Inc.",NYS:DBI,17.4,Low ESG Risk,341,NYS,DBI,Low Risk
"Desktop Metal, Inc.",NYS:DM,23.1,Medium ESG Risk,341,NYS,DM,Medium Risk
"Destination XL Group, Inc.",NAS:DXLG,17.0,Low ESG Risk,341,NAS,DXLG,Low Risk
Devon Energy Corp.,NYS:DVN,31.6,High ESG Risk,343,NYS,DVN,High Risk
"DexCom, Inc.",NAS:DXCM,21.7,Medium ESG Risk,343,NAS,DXCM,Medium Risk
"DHI Group, Inc.",NYS:DHX,25.0,Medium ESG Risk,345,NYS,DHX,Medium Risk
"DHT Holdings, Inc.",NYS:DHT,31.9,High ESG Risk,345,NYS,DHT,High Risk
"Diamond Hill Investment Group, Inc.",NAS:DHIL,27.3,Medium ESG Risk,346,NAS,DHIL,Medium Risk
"Diamondback Energy, Inc.",NAS:FANG,37.3,High ESG Risk,346,NAS,FANG,High Risk
DiamondRock Hospitality Co.,NYS:DRH,13.1,Low ESG Risk,346,NYS,DRH,Low Risk
"Dick's Sporting Goods, Inc.",NYS:DKS,16.6,Low ESG Risk,346,NYS,DKS,Low Risk
"Diebold Nixdorf, Inc.",NYS:DBD,17.4,Low ESG Risk,347,NYS,DBD,Low Risk
"Digi International, Inc.",NAS:DGII,17.7,Low ESG Risk,347,NAS,DGII,Low Risk
Digimarc Corp.,NAS:DMRC,20.6,Medium ESG Risk,347,NAS,DMRC,Medium Risk
"Digital Realty Trust, Inc.",NYS:DLR,12.6,Low ESG Risk,348,NYS,DLR,Low Risk
"Digital Turbine, Inc.",NAS:APPS,20.3,Medium ESG Risk,348,NAS,APPS,Medium Risk
"DigitalBridge Group, Inc.",NYS:DBRG,19.0,Low ESG Risk,348,NYS,DBRG,Low Risk
"DigitalOcean Holdings, Inc.",NYS:DOCN,26.1,Medium ESG Risk,348,NYS,DOCN,Medium Risk
"Dillard's, Inc.",NYS:DDS,18.2,Low ESG Risk,348,NYS,DDS,Low Risk
"Dime Community Bancshares, Inc.",NAS:DCOM,28.8,Medium ESG Risk,348,NAS,DCOM,Medium Risk
"Dine Brands Global, Inc.",NYS:DIN,29.3,Medium ESG Risk,348,NYS,DIN,Medium Risk
